time,id,type,link,lane,x,y,angle,speed.mph,pos,accel.fpss
4.20,add_2_0_5,1509,5676999#0,0,5646.489681999999,14826.6737028,272.45,6.151585000000001,15.682415200000001,3.9370079999999996
4.30,11_29_0_3,4518,46121854,0,6076.9030816,12810.6303312,116.93,14.2940466,40.4527572,8.9238848
4.30,14_5_0_9,4518,-222251427#2,0,8626.542270799999,10543.2089988,284.77,1.9461378,15.649606799999999,9.514436
4.30,1_4_0_1,5018,5677903#1,1,5224.0159152,15424.278708799999,158.58,19.3942698,101.90289039999999,-4.92126
4.30,24_31_0_0,1509,23334065#2,0,9113.681394,8796.5553996,284.38,11.922890200000001,43.9960644,3.9698164
4.30,27_3_0_11,4518,5681969#1,0,7867.2902779999995,8963.1892632,116.67,1.9237684000000002,15.649606799999999,9.2519688
4.30,31_5_0_7,4518,-222258277#5,0,9227.7562008,7656.627541599999,330.79,8.1200922,23.5236228,9.120735199999999
4.30,4_1_0_2,5018,41381890#0.0,1,5503.281016,14385.4335312,90.84,20.7588032,71.68635400000001,-4.92126
4.30,4_5_0_6,8025,41381890#0.0,1,5462.3689412,14386.0240824,90.84,5.7265664,30.774279200000002,9.120735199999999
4.30,7_add_0_4,4518,107391104#10,0,7371.3585035999995,13026.5096032,272.29,14.428263000000001,40.518374,9.3832024
4.30,B38_0_1,1509,-46121861#1,0,5679.7573996,13014.1408364,117.04,8.299047400000001,53.4448836,2.9199476
4.30,B62_0_1,1509,221605483#0,0,4662.6969996,15241.0109864,92.15,8.276678,53.31365,2.8543308
4.30,add_2_0_5,1509,5676999#0,0,5645.5382383999995,14826.7393196,272.45,6.420017800000001,16.633858800000002,4.1338584
4.40,11_29_0_3,4518,46121854,0,6078.8715856,12809.6132708,116.93,14.898020400000002,42.65092,9.120735199999999
4.40,14_5_0_9,4518,-222251427#2,0,8626.1813784,10543.307424,284.77,2.572481,16.0433076,9.3832024
4.40,1_4_0_1,5018,5677903#1,1,5225.0329756,15421.6868452,158.58,19.0587288,104.6916044,-4.92126
4.40,24_31_0_0,1509,23334065#2,0,9111.9425488,8797.0147172,284.38,12.191323,45.8005264,3.9698164
4.40,27_3_0_11,4518,5681969#1,0,7867.618362,8963.0252212,116.67,2.572481,16.0433076,9.448819199999999
4.40,31_5_0_7,4518,-222258277#5,0,9227.1328412,7657.7430272,330.79,8.7688048,24.8031504,9.448819199999999
4.40,4_1_0_2,5018,41381890#0.0,1,5506.2665804,14385.3679144,90.84,20.445631600000002,74.67191840000001,-4.7244095999999995
4.40,4_5_0_6,8025,41381890#0.0,1,5463.3203848,14386.0240824,90.84,6.3081708,31.7257228,8.6286092
4.40,7_add_0_4,4518,107391104#10,0,7369.127532400001,13026.6080284,272.29,15.054606200000002,42.7493452,9.120735199999999
4.40,B38_0_1,1509,-46121861#1,0,5680.8400768,13013.5502852,117.04,8.4780026,54.691602800000005,2.7887139999999997
4.40,B54_0_1,1509,221605483#0,0,4635.9581536,15242.028046800002,92.15,0.0,26.574804,0.0
4.40,B62_0_1,1509,221605483#0,0,4663.9109104,15240.978178,92.15,8.4780026,54.5603692,2.8215224
4.40,add_2_0_5,1509,5676999#0,0,5644.5539864,14826.772127999999,272.45,6.71082,17.6181108,4.1666668
4.50,11_29_0_3,4518,46121854,0,6080.9057064,12808.5962104,116.93,15.524363600000003,44.9146996,9.0551184
4.50,14_5_0_9,4518,-222251427#2,0,8625.722060799999,10543.4058492,284.77,3.2211936,16.5026252,9.2847772
4.50,1_4_0_1,5018,5677903#1,1,5226.050036000001,15419.12779,158.58,18.723187799999998,107.44751,-4.92126
4.50,24_31_0_0,1509,23334065#2,0,9110.1708952,8797.4412264,284.38,12.459755800000002,47.604988399999996,4.0026247999999995
4.50,27_3_0_11,4518,5681969#1,0,7868.0448712,8962.7955624,116.67,3.1988242000000002,16.5026252,9.120735199999999
4.50,31_5_0_7,4518,-222258277#5,0,9226.4438648,7658.956937999999,330.79,9.395148,26.181103200000003,9.3175856
4.50,4_1_0_2,5018,41381890#0.0,1,5509.2193364,14385.335105999999,90.84,20.110090600000003,77.6246744,-4.92126
4.50,4_5_0_6,8025,41381890#0.0,1,5464.3374452,14385.991274000002,90.84,6.956883400000001,32.7427832,9.350394
4.50,7_add_0_4,4518,107391104#10,0,7366.8309444,13026.7064536,272.29,15.65858,45.0459332,8.7598428
4.50,B38_0_1,1509,-46121861#1,0,5681.9883708,13012.992542400001,117.04,8.6569578,55.938322,2.6902888
4.50,B54_0_1,1509,221605483#0,0,4635.990962,15242.028046800002,92.15,0.2013246,26.607612399999997,2.952756
4.50,B62_0_1,1509,221605483#0,0,4665.1904380000005,15240.9125612,92.15,8.6569578,55.8398968,2.8543308
4.50,add_2_0_5,1509,5676999#0,0,5643.536926000001,14826.8049364,272.45,6.979252800000001,18.6351712,3.9370079999999996
4.60,11_29_0_3,4518,46121854,0,6083.005443999999,12807.513533199999,116.93,16.1730762,47.2769044,9.448819199999999
4.60,14_5_0_9,4518,-222251427#2,0,8625.1971264,10543.569891199999,284.77,3.8475368000000003,17.060368,9.3832024
4.60,1_4_0_1,5018,5677903#1,1,5227.034288,15416.601543199999,158.58,18.387646800000002,110.1377988,-4.92126
4.60,24_31_0_0,1509,23334065#2,0,9108.3664332,8797.933352400001,284.38,12.728188600000001,49.4750672,4.0026247999999995
4.60,27_3_0_11,4518,5681969#1,0,7868.5369972,8962.5659036,116.67,3.8251674,17.060368,9.1535436
4.60,31_5_0_7,4518,-222258277#5,0,9225.72208,7660.2364656,330.79,9.9991218,27.6574812,8.6286092
4.60,4_1_0_2,5018,41381890#0.0,1,5512.139284,14385.302297600001,90.84,19.7745496,80.544622,-4.92126
4.60,4_5_0_6,8025,41381890#0.0,1,5465.4201224,14385.991274000002,90.84,7.5384878,33.825460400000004,8.7926512
4.60,7_add_0_4,4518,107391104#10,0,7364.4687396,13026.8048788,272.29,16.2625538,47.408137999999994,9.02231
4.60,B38_0_1,1509,-46121861#1,0,5683.1366648,13012.401991199999,117.04,8.8582824,57.250657999999994,2.9199476
4.60,B54_0_1,1509,221605483#0,0,4636.056578799999,15242.028046800002,92.15,0.4026492,26.6732292,2.8871392
4.60,B62_0_1,1509,221605483#0,0,4666.502774,15240.8797528,92.15,8.8582824,57.1194244,2.8543308
4.60,add_2_0_5,1509,5676999#0,0,5642.4870572,14826.870553199999,272.45,7.270055,19.717848399999998,4.265092
4.70,11_29_0_3,4518,46121854,0,6085.2036068,12806.3980476,116.93,16.777050000000003,49.7375344,8.8910764
4.70,14_5_0_9,4518,-222251427#2,0,8624.5409584,10543.7339332,284.77,4.451510600000001,17.716536,8.9566932
