transtime_30sec,Link_ID,%_green,%_amber,%_red
0 days 07:38:00.000000000,5677903#1,83.33,10,6.67
0 days 07:38:30.000000000,-139919720#0,100,0,0
0 days 07:38:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:38:30.000000000,221723366,100,0,0
0 days 07:38:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:38:30.000000000,349154287#5,83.33,10,6.67
0 days 07:38:30.000000000,5677903#1,83.33,10,6.67
0 days 07:39:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:39:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:39:00.000000000,221723366,83.33,10,6.67
0 days 07:39:00.000000000,221731899#2.168,96.67,3.33,0
