transtime_30sec,Link_ID,%_green,%_amber,%_red
0 days 07:39:00.000000000,349154287#5,83.33,10,6.67
0 days 07:39:00.000000000,5677903#1,83.33,10,6.67
0 days 07:39:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:39:30.000000000,-23334090#0,90,10,0
0 days 07:39:30.000000000,221723366,83.33,10,6.67
0 days 07:39:30.000000000,221731899#2.168,90,10,0
0 days 07:39:30.000000000,349154287#5,83.33,10,6.67
0 days 07:39:30.000000000,5677903#1,83.33,10,6.67
0 days 07:40:00.000000000,-139919720#0,100,0,0
0 days 07:40:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:40:00.000000000,221723366,100,0,0
0 days 07:40:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:40:00.000000000,349154287#5,83.33,10,6.67
0 days 07:40:00.000000000,5677903#1,83.33,10,6.67
0 days 07:40:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:40:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:40:30.000000000,221723366,83.33,10,6.67
0 days 07:40:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:40:30.000000000,349154287#5,83.33,10,6.67
0 days 07:40:30.000000000,5677903#1,83.33,10,6.67
0 days 07:41:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:41:00.000000000,-23334090#0,90,10,0
0 days 07:41:00.000000000,221723366,83.33,10,6.67
0 days 07:41:00.000000000,221731899#2.168,90,10,0
0 days 07:41:00.000000000,349154287#5,83.33,10,6.67
0 days 07:41:00.000000000,5677903#1,83.33,10,6.67
0 days 07:41:30.000000000,-139919720#0,100,0,0
0 days 07:41:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:41:30.000000000,221723366,100,0,0
0 days 07:41:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:41:30.000000000,349154287#5,83.33,10,6.67
0 days 07:41:30.000000000,5677903#1,83.33,10,6.67
0 days 07:42:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:42:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:42:00.000000000,221723366,83.33,10,6.67
0 days 07:42:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:42:00.000000000,349154287#5,83.33,10,6.67
0 days 07:42:00.000000000,5677903#1,83.33,10,6.67
0 days 07:42:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:42:30.000000000,-23334090#0,90,10,0
0 days 07:42:30.000000000,221723366,83.33,10,6.67
0 days 07:42:30.000000000,221731899#2.168,90,10,0
0 days 07:42:30.000000000,349154287#5,83.33,10,6.67
0 days 07:42:30.000000000,5677903#1,83.33,10,6.67
0 days 07:43:00.000000000,-139919720#0,100,0,0
0 days 07:43:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:43:00.000000000,221723366,100,0,0
0 days 07:43:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:43:00.000000000,349154287#5,83.33,10,6.67
0 days 07:43:00.000000000,5677903#1,83.33,10,6.67
0 days 07:43:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:43:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:43:30.000000000,221723366,83.33,10,6.67
0 days 07:43:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:43:30.000000000,349154287#5,83.33,10,6.67
0 days 07:43:30.000000000,5677903#1,83.33,10,6.67
0 days 07:44:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:44:00.000000000,-23334090#0,90,10,0
0 days 07:44:00.000000000,221723366,83.33,10,6.67
0 days 07:44:00.000000000,221731899#2.168,90,10,0
0 days 07:44:00.000000000,349154287#5,83.33,10,6.67
0 days 07:44:00.000000000,5677903#1,83.33,10,6.67
0 days 07:44:30.000000000,-139919720#0,100,0,0
0 days 07:44:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:44:30.000000000,221723366,100,0,0
0 days 07:44:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:44:30.000000000,349154287#5,83.33,10,6.67
0 days 07:44:30.000000000,5677903#1,83.33,10,6.67
0 days 07:45:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:45:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:45:00.000000000,221723366,83.33,10,6.67
0 days 07:45:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:45:00.000000000,349154287#5,83.33,10,6.67
0 days 07:45:00.000000000,5677903#1,83.33,10,6.67
0 days 07:45:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:45:30.000000000,-23334090#0,90,10,0
0 days 07:45:30.000000000,221723366,83.33,10,6.67
0 days 07:45:30.000000000,221731899#2.168,90,10,0
0 days 07:45:30.000000000,349154287#5,83.33,10,6.67
0 days 07:45:30.000000000,5677903#1,83.33,10,6.67
0 days 07:46:00.000000000,-139919720#0,100,0,0
0 days 07:46:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:46:00.000000000,221723366,100,0,0
0 days 07:46:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:46:00.000000000,349154287#5,83.33,10,6.67
0 days 07:46:00.000000000,5677903#1,83.33,10,6.67
0 days 07:46:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:46:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:46:30.000000000,221723366,83.33,10,6.67
0 days 07:46:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:46:30.000000000,349154287#5,83.33,10,6.67
0 days 07:46:30.000000000,5677903#1,83.33,10,6.67
0 days 07:47:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:47:00.000000000,-23334090#0,90,10,0
0 days 07:47:00.000000000,221723366,83.33,10,6.67
0 days 07:47:00.000000000,221731899#2.168,90,10,0
0 days 07:47:00.000000000,349154287#5,83.33,10,6.67
0 days 07:47:00.000000000,5677903#1,83.33,10,6.67
0 days 07:47:30.000000000,-139919720#0,100,0,0
0 days 07:47:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:47:30.000000000,221723366,100,0,0
0 days 07:47:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:47:30.000000000,349154287#5,83.33,10,6.67
0 days 07:47:30.000000000,5677903#1,83.33,10,6.67
0 days 07:48:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:48:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:48:00.000000000,221723366,83.33,10,6.67
0 days 07:48:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:48:00.000000000,349154287#5,83.33,10,6.67
0 days 07:48:00.000000000,5677903#1,83.33,10,6.67
0 days 07:48:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:48:30.000000000,-23334090#0,90,10,0
0 days 07:48:30.000000000,221723366,83.33,10,6.67
0 days 07:48:30.000000000,221731899#2.168,90,10,0
0 days 07:48:30.000000000,349154287#5,83.33,10,6.67
0 days 07:48:30.000000000,5677903#1,83.33,10,6.67
0 days 07:49:00.000000000,-139919720#0,100,0,0
0 days 07:49:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:49:00.000000000,221723366,100,0,0
0 days 07:49:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:49:00.000000000,349154287#5,83.33,10,6.67
0 days 07:49:00.000000000,5677903#1,83.33,10,6.67
0 days 07:49:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:49:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:49:30.000000000,221723366,83.33,10,6.67
0 days 07:49:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:49:30.000000000,349154287#5,83.33,10,6.67
0 days 07:49:30.000000000,5677903#1,83.33,10,6.67
0 days 07:50:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:50:00.000000000,-23334090#0,90,10,0
0 days 07:50:00.000000000,221723366,83.33,10,6.67
0 days 07:50:00.000000000,221731899#2.168,90,10,0
0 days 07:50:00.000000000,349154287#5,83.33,10,6.67
0 days 07:50:00.000000000,5677903#1,83.33,10,6.67
0 days 07:50:30.000000000,-139919720#0,100,0,0
0 days 07:50:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:50:30.000000000,221723366,100,0,0
0 days 07:50:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:50:30.000000000,349154287#5,83.33,10,6.67
0 days 07:50:30.000000000,5677903#1,83.33,10,6.67
0 days 07:51:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:51:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:51:00.000000000,221723366,83.33,10,6.67
0 days 07:51:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:51:00.000000000,349154287#5,83.33,10,6.67
0 days 07:51:00.000000000,5677903#1,83.33,10,6.67
0 days 07:51:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:51:30.000000000,-23334090#0,90,10,0
0 days 07:51:30.000000000,221723366,83.33,10,6.67
0 days 07:51:30.000000000,221731899#2.168,90,10,0
0 days 07:51:30.000000000,349154287#5,83.33,10,6.67
0 days 07:51:30.000000000,5677903#1,83.33,10,6.67
0 days 07:52:00.000000000,-139919720#0,100,0,0
0 days 07:52:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:52:00.000000000,221723366,100,0,0
0 days 07:52:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:52:00.000000000,349154287#5,83.33,10,6.67
0 days 07:52:00.000000000,5677903#1,83.33,10,6.67
0 days 07:52:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:52:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:52:30.000000000,221723366,83.33,10,6.67
0 days 07:52:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:52:30.000000000,349154287#5,83.33,10,6.67
0 days 07:52:30.000000000,5677903#1,83.33,10,6.67
0 days 07:53:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:53:00.000000000,-23334090#0,90,10,0
0 days 07:53:00.000000000,221723366,83.33,10,6.67
0 days 07:53:00.000000000,221731899#2.168,90,10,0
0 days 07:53:00.000000000,349154287#5,83.33,10,6.67
0 days 07:53:00.000000000,5677903#1,83.33,10,6.67
0 days 07:53:30.000000000,-139919720#0,100,0,0
0 days 07:53:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:53:30.000000000,221723366,100,0,0
0 days 07:53:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:53:30.000000000,349154287#5,83.33,10,6.67
0 days 07:53:30.000000000,5677903#1,83.33,10,6.67
0 days 07:54:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:54:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:54:00.000000000,221723366,83.33,10,6.67
0 days 07:54:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:54:00.000000000,349154287#5,83.33,10,6.67
0 days 07:54:00.000000000,5677903#1,83.33,10,6.67
0 days 07:54:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:54:30.000000000,-23334090#0,90,10,0
0 days 07:54:30.000000000,221723366,83.33,10,6.67
0 days 07:54:30.000000000,221731899#2.168,90,10,0
0 days 07:54:30.000000000,349154287#5,83.33,10,6.67
0 days 07:54:30.000000000,5677903#1,83.33,10,6.67
0 days 07:55:00.000000000,-139919720#0,100,0,0
0 days 07:55:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:55:00.000000000,221723366,100,0,0
0 days 07:55:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:55:00.000000000,349154287#5,83.33,10,6.67
0 days 07:55:00.000000000,5677903#1,83.33,10,6.67
0 days 07:55:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:55:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:55:30.000000000,221723366,83.33,10,6.67
0 days 07:55:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:55:30.000000000,349154287#5,83.33,10,6.67
0 days 07:55:30.000000000,5677903#1,83.33,10,6.67
0 days 07:56:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:56:00.000000000,-23334090#0,90,10,0
0 days 07:56:00.000000000,221723366,83.33,10,6.67
0 days 07:56:00.000000000,221731899#2.168,90,10,0
0 days 07:56:00.000000000,349154287#5,83.33,10,6.67
0 days 07:56:00.000000000,5677903#1,83.33,10,6.67
0 days 07:56:30.000000000,-139919720#0,100,0,0
0 days 07:56:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:56:30.000000000,221723366,100,0,0
0 days 07:56:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:56:30.000000000,349154287#5,83.33,10,6.67
0 days 07:56:30.000000000,5677903#1,83.33,10,6.67
0 days 07:57:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:57:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:57:00.000000000,221723366,83.33,10,6.67
0 days 07:57:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:57:00.000000000,349154287#5,83.33,10,6.67
0 days 07:57:00.000000000,5677903#1,83.33,10,6.67
0 days 07:57:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:57:30.000000000,-23334090#0,90,10,0
0 days 07:57:30.000000000,221723366,83.33,10,6.67
0 days 07:57:30.000000000,221731899#2.168,90,10,0
0 days 07:57:30.000000000,349154287#5,83.33,10,6.67
0 days 07:57:30.000000000,5677903#1,83.33,10,6.67
0 days 07:58:00.000000000,-139919720#0,100,0,0
0 days 07:58:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:58:00.000000000,221723366,100,0,0
0 days 07:58:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:58:00.000000000,349154287#5,83.33,10,6.67
0 days 07:58:00.000000000,5677903#1,83.33,10,6.67
0 days 07:58:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:58:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:58:30.000000000,221723366,83.33,10,6.67
0 days 07:58:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:58:30.000000000,349154287#5,83.33,10,6.67
0 days 07:58:30.000000000,5677903#1,83.33,10,6.67
0 days 07:59:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:59:00.000000000,-23334090#0,90,10,0
0 days 07:59:00.000000000,221723366,83.33,10,6.67
0 days 07:59:00.000000000,221731899#2.168,90,10,0
0 days 07:59:00.000000000,349154287#5,83.33,10,6.67
0 days 07:59:00.000000000,5677903#1,83.33,10,6.67
0 days 07:59:30.000000000,-139919720#0,100,0,0
0 days 07:59:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:59:30.000000000,221723366,100,0,0
0 days 07:59:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:59:30.000000000,349154287#5,83.33,10,6.67
0 days 07:59:30.000000000,5677903#1,83.33,10,6.67
0 days 08:00:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:00:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:00:00.000000000,221723366,83.33,10,6.67
0 days 08:00:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:00:00.000000000,349154287#5,83.33,10,6.67
0 days 08:00:00.000000000,5677903#1,83.33,10,6.67
0 days 08:00:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:00:30.000000000,-23334090#0,90,10,0
0 days 08:00:30.000000000,221723366,83.33,10,6.67
0 days 08:00:30.000000000,221731899#2.168,90,10,0
0 days 08:00:30.000000000,349154287#5,83.33,10,6.67
0 days 08:00:30.000000000,5677903#1,83.33,10,6.67
0 days 08:01:00.000000000,-139919720#0,100,0,0
0 days 08:01:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:01:00.000000000,221723366,100,0,0
0 days 08:01:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:01:00.000000000,349154287#5,83.33,10,6.67
0 days 08:01:00.000000000,5677903#1,83.33,10,6.67
0 days 08:01:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:01:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:01:30.000000000,221723366,83.33,10,6.67
0 days 08:01:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:01:30.000000000,349154287#5,83.33,10,6.67
0 days 08:01:30.000000000,5677903#1,83.33,10,6.67
0 days 08:02:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:02:00.000000000,-23334090#0,90,10,0
0 days 08:02:00.000000000,221723366,83.33,10,6.67
0 days 08:02:00.000000000,221731899#2.168,90,10,0
0 days 08:02:00.000000000,349154287#5,83.33,10,6.67
0 days 08:02:00.000000000,5677903#1,83.33,10,6.67
0 days 08:02:30.000000000,-139919720#0,100,0,0
0 days 08:02:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:02:30.000000000,221723366,100,0,0
0 days 08:02:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:02:30.000000000,349154287#5,83.33,10,6.67
0 days 08:02:30.000000000,5677903#1,83.33,10,6.67
0 days 08:03:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:03:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:03:00.000000000,221723366,83.33,10,6.67
0 days 08:03:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:03:00.000000000,349154287#5,83.33,10,6.67
0 days 08:03:00.000000000,5677903#1,83.33,10,6.67
0 days 08:03:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:03:30.000000000,-23334090#0,90,10,0
0 days 08:03:30.000000000,221723366,83.33,10,6.67
0 days 08:03:30.000000000,221731899#2.168,90,10,0
0 days 08:03:30.000000000,349154287#5,83.33,10,6.67
0 days 08:03:30.000000000,5677903#1,83.33,10,6.67
0 days 08:04:00.000000000,-139919720#0,100,0,0
0 days 08:04:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:04:00.000000000,221723366,100,0,0
0 days 08:04:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:04:00.000000000,349154287#5,83.33,10,6.67
0 days 08:04:00.000000000,5677903#1,83.33,10,6.67
0 days 08:04:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:04:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:04:30.000000000,221723366,83.33,10,6.67
0 days 08:04:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:04:30.000000000,349154287#5,83.33,10,6.67
0 days 08:04:30.000000000,5677903#1,83.33,10,6.67
0 days 08:05:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:05:00.000000000,-23334090#0,90,10,0
0 days 08:05:00.000000000,221723366,83.33,10,6.67
0 days 08:05:00.000000000,221731899#2.168,90,10,0
0 days 08:05:00.000000000,349154287#5,83.33,10,6.67
0 days 08:05:00.000000000,5677903#1,83.33,10,6.67
0 days 08:05:30.000000000,-139919720#0,100,0,0
0 days 08:05:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:05:30.000000000,221723366,100,0,0
0 days 08:05:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:05:30.000000000,349154287#5,83.33,10,6.67
0 days 08:05:30.000000000,5677903#1,83.33,10,6.67
0 days 08:06:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:06:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:06:00.000000000,221723366,83.33,10,6.67
0 days 08:06:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:06:00.000000000,349154287#5,83.33,10,6.67
0 days 08:06:00.000000000,5677903#1,83.33,10,6.67
0 days 08:06:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:06:30.000000000,-23334090#0,90,10,0
0 days 08:06:30.000000000,221723366,83.33,10,6.67
0 days 08:06:30.000000000,221731899#2.168,90,10,0
0 days 08:06:30.000000000,349154287#5,83.33,10,6.67
0 days 08:06:30.000000000,5677903#1,83.33,10,6.67
0 days 08:07:00.000000000,-139919720#0,100,0,0
0 days 08:07:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:07:00.000000000,221723366,100,0,0
0 days 08:07:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:07:00.000000000,349154287#5,83.33,10,6.67
0 days 08:07:00.000000000,5677903#1,83.33,10,6.67
0 days 08:07:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:07:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:07:30.000000000,221723366,83.33,10,6.67
0 days 08:07:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:07:30.000000000,349154287#5,83.33,10,6.67
0 days 08:07:30.000000000,5677903#1,83.33,10,6.67
0 days 08:08:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:08:00.000000000,-23334090#0,90,10,0
0 days 08:08:00.000000000,221723366,83.33,10,6.67
0 days 08:08:00.000000000,221731899#2.168,90,10,0
0 days 08:08:00.000000000,349154287#5,83.33,10,6.67
0 days 08:08:00.000000000,5677903#1,83.33,10,6.67
0 days 08:08:30.000000000,-139919720#0,100,0,0
0 days 08:08:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:08:30.000000000,221723366,100,0,0
0 days 08:08:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:08:30.000000000,349154287#5,83.33,10,6.67
0 days 08:08:30.000000000,5677903#1,83.33,10,6.67
0 days 08:09:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:09:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:09:00.000000000,221723366,83.33,10,6.67
0 days 08:09:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:09:00.000000000,349154287#5,83.33,10,6.67
0 days 08:09:00.000000000,5677903#1,83.33,10,6.67
0 days 08:09:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:09:30.000000000,-23334090#0,90,10,0
0 days 08:09:30.000000000,221723366,83.33,10,6.67
0 days 08:09:30.000000000,221731899#2.168,90,10,0
0 days 08:09:30.000000000,349154287#5,83.33,10,6.67
0 days 08:09:30.000000000,5677903#1,83.33,10,6.67
0 days 08:10:00.000000000,-139919720#0,100,0,0
0 days 08:10:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:10:00.000000000,221723366,100,0,0
0 days 08:10:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:10:00.000000000,349154287#5,83.33,10,6.67
0 days 08:10:00.000000000,5677903#1,83.33,10,6.67
0 days 08:10:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:10:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:10:30.000000000,221723366,83.33,10,6.67
0 days 08:10:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:10:30.000000000,349154287#5,83.33,10,6.67
0 days 08:10:30.000000000,5677903#1,83.33,10,6.67
0 days 08:11:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:11:00.000000000,-23334090#0,90,10,0
0 days 08:11:00.000000000,221723366,83.33,10,6.67
0 days 08:11:00.000000000,221731899#2.168,90,10,0
0 days 08:11:00.000000000,349154287#5,83.33,10,6.67
0 days 08:11:00.000000000,5677903#1,83.33,10,6.67
0 days 08:11:30.000000000,-139919720#0,100,0,0
0 days 08:11:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:11:30.000000000,221723366,100,0,0
0 days 08:11:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:11:30.000000000,349154287#5,83.33,10,6.67
0 days 08:11:30.000000000,5677903#1,83.33,10,6.67
0 days 08:12:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:12:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:12:00.000000000,221723366,83.33,10,6.67
0 days 08:12:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:12:00.000000000,349154287#5,83.33,10,6.67
0 days 08:12:00.000000000,5677903#1,83.33,10,6.67
0 days 08:12:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:12:30.000000000,-23334090#0,90,10,0
0 days 08:12:30.000000000,221723366,83.33,10,6.67
0 days 08:12:30.000000000,221731899#2.168,90,10,0
0 days 08:12:30.000000000,349154287#5,83.33,10,6.67
0 days 08:12:30.000000000,5677903#1,83.33,10,6.67
0 days 08:13:00.000000000,-139919720#0,100,0,0
0 days 08:13:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:13:00.000000000,221723366,100,0,0
0 days 08:13:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:13:00.000000000,349154287#5,83.33,10,6.67
0 days 08:13:00.000000000,5677903#1,83.33,10,6.67
0 days 08:13:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:13:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:13:30.000000000,221723366,83.33,10,6.67
0 days 08:13:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:13:30.000000000,349154287#5,83.33,10,6.67
0 days 08:13:30.000000000,5677903#1,83.33,10,6.67
0 days 08:14:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:14:00.000000000,-23334090#0,90,10,0
0 days 08:14:00.000000000,221723366,83.33,10,6.67
0 days 08:14:00.000000000,221731899#2.168,90,10,0
0 days 08:14:00.000000000,349154287#5,83.33,10,6.67
0 days 08:14:00.000000000,5677903#1,83.33,10,6.67
0 days 08:14:30.000000000,-139919720#0,100,0,0
0 days 08:14:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:14:30.000000000,221723366,100,0,0
0 days 08:14:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:14:30.000000000,349154287#5,83.33,10,6.67
0 days 08:14:30.000000000,5677903#1,83.33,10,6.67
0 days 08:15:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:15:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:15:00.000000000,221723366,83.33,10,6.67
0 days 08:15:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:15:00.000000000,349154287#5,83.33,10,6.67
0 days 08:15:00.000000000,5677903#1,83.33,10,6.67
0 days 08:15:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:15:30.000000000,-23334090#0,90,10,0
0 days 08:15:30.000000000,221723366,83.33,10,6.67
0 days 08:15:30.000000000,221731899#2.168,90,10,0
0 days 08:15:30.000000000,349154287#5,83.33,10,6.67
0 days 08:15:30.000000000,5677903#1,83.33,10,6.67
0 days 08:16:00.000000000,-139919720#0,100,0,0
0 days 08:16:00.000000000,-23334090#0,93.33,6.67,0
0 days 08:16:00.000000000,221723366,100,0,0
0 days 08:16:00.000000000,221731899#2.168,93.33,6.67,0
0 days 08:16:00.000000000,349154287#5,83.33,10,6.67
0 days 08:16:00.000000000,5677903#1,83.33,10,6.67
0 days 08:16:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:16:30.000000000,-23334090#0,96.67,3.33,0
0 days 08:16:30.000000000,221723366,83.33,10,6.67
0 days 08:16:30.000000000,221731899#2.168,96.67,3.33,0
0 days 08:16:30.000000000,349154287#5,83.33,10,6.67
0 days 08:16:30.000000000,5677903#1,83.33,10,6.67
0 days 08:17:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:17:00.000000000,-23334090#0,90,10,0
0 days 08:17:00.000000000,221723366,83.33,10,6.67
0 days 08:17:00.000000000,221731899#2.168,90,10,0
0 days 08:17:00.000000000,349154287#5,83.33,10,6.67
0 days 08:17:00.000000000,5677903#1,83.33,10,6.67
0 days 08:17:30.000000000,-139919720#0,100,0,0
0 days 08:17:30.000000000,-23334090#0,93.33,6.67,0
0 days 08:17:30.000000000,221723366,100,0,0
0 days 08:17:30.000000000,221731899#2.168,93.33,6.67,0
0 days 08:17:30.000000000,349154287#5,83.33,10,6.67
0 days 08:17:30.000000000,5677903#1,83.33,10,6.67
0 days 08:18:00.000000000,-139919720#0,83.33,10,6.67
0 days 08:18:00.000000000,-23334090#0,96.67,3.33,0
0 days 08:18:00.000000000,221723366,83.33,10,6.67
0 days 08:18:00.000000000,221731899#2.168,96.67,3.33,0
0 days 08:18:00.000000000,349154287#5,83.33,10,6.67
0 days 08:18:00.000000000,5677903#1,83.33,10,6.67
0 days 08:18:30.000000000,-139919720#0,83.33,10,6.67
0 days 08:18:30.000000000,-23334090#0,90,10,0
0 days 08:18:30.000000000,221723366,83.33,10,6.67
0 days 08:18:30.000000000,221731899#2.168,90,10,0
