link,time_30,queue_count_max,queue_len_max
5677903#1,0 days 07:57:00,1,16.44506023
5677903#1,0 days 07:57:30,4,107.1313553
5677903#1,0 days 07:58:00,7,134.8811837
5677903#1,0 days 07:58:30,7,139.5493899
5677903#1,0 days 07:59:00,2,47.61419575
5677903#1,0 days 07:59:30,4,80.7721919
5677903#1,0 days 08:00:00,9,178.191588
5677903#1,0 days 08:00:30,9,158.8788335
5677903#1,0 days 08:01:00,3,47.18807542
5677903#1,0 days 08:01:30,5,100.100873
5677903#1,0 days 08:02:00,6,103.9945213
5677903#1,0 days 08:02:30,7,116.5724333
5677903#1,0 days 08:03:00,2,47.97804495
5677903#1,0 days 08:03:30,5,105.4193811
5677903#1,0 days 08:04:00,8,173.3298225
5677903#1,0 days 08:04:30,8,170.2653109
5677903#1,0 days 08:05:00,3,70.28799262
5677903#1,0 days 08:05:30,5,90.40859981
5677903#1,0 days 08:06:00,6,102.7277048
5677903#1,0 days 08:06:30,7,113.8619604
5677903#1,0 days 08:07:00,0,0
5677903#1,0 days 08:07:30,2,50.37703688
5677903#1,0 days 08:08:00,6,111.9616264
5677903#1,0 days 08:08:30,6,104.3780802
5677903#1,0 days 08:09:00,1,14.74902403
5677903#1,0 days 08:09:30,3,73.94317567
5677903#1,0 days 08:10:00,5,123.744585
5677903#1,0 days 08:10:30,6,124.1708944
5677903#1,0 days 08:11:00,1,16.44506023
5677903#1,0 days 08:11:30,5,94.37752793
5677903#1,0 days 08:12:00,5,71.68764023
5677903#1,0 days 08:12:30,5,71.68764023
5677903#1,0 days 08:13:00,3,66.29981123
5677903#1,0 days 08:13:30,6,100.4009987
5677903#1,0 days 08:14:00,6,128.3408703
5677903#1,0 days 08:14:30,7,131.3480473
5677903#1,0 days 08:15:00,3,59.68284793
5677903#1,0 days 08:15:30,5,88.05085425
5677903#1,0 days 08:16:00,5,100.2243486
5677903#1,0 days 08:16:30,5,67.5347021
5677903#1,0 days 08:17:30,3,65.66486195
5677903#1,0 days 08:18:00,5,123.8333122
5677903#1,0 days 08:18:30,5,119.7968695
5677903#1,0 days 08:19:00,1,14.74902403
5677903#1,0 days 08:19:30,3,50.62645065
5677903#1,0 days 08:20:00,5,82.25842482
5677903#1,0 days 08:20:30,5,96.68321662
5677903#1,0 days 08:21:00,2,53.93882336
5677903#1,0 days 08:21:30,5,96.53726547
5677903#1,0 days 08:22:00,5,80.89321054
5677903#1,0 days 08:22:30,5,89.30649996
5677903#1,0 days 08:23:00,2,43.91065014
5677903#1,0 days 08:23:30,5,120.0930749
5677903#1,0 days 08:24:00,7,135.3218498
5677903#1,0 days 08:24:30,7,120.8300261
5677903#1,0 days 08:25:00,3,73.10223409
5677903#1,0 days 08:25:30,4,80.74204519
5677903#1,0 days 08:26:00,5,92.0079536
5677903#1,0 days 08:26:30,4,79.88620023
5677903#1,0 days 08:27:00,0,0
5677903#1,0 days 08:27:30,2,42.01520384
5677903#1,0 days 08:28:00,4,97.69080262
5677903#1,0 days 08:28:30,4,72.82049777
5677903#1,0 days 08:29:00,1,14.74902403
5677903#1,0 days 08:29:30,2,59.294076
5677903#1,0 days 08:30:00,3,76.05961214
5677903#1,0 days 08:30:30,3,46.63848797
5677903#1,0 days 08:31:00,2,41.36455312
5677903#1,0 days 08:31:30,5,103.141506
5677903#1,0 days 08:32:00,4,75.57500925
5677903#1,0 days 08:32:30,4,62.17875034
5677903#1,0 days 08:33:00,2,46.76196521
5677903#1,0 days 08:33:30,5,102.7812726
5677903#1,0 days 08:34:00,7,150.4226201
5677903#1,0 days 08:34:30,7,139.9925476
5677903#1,0 days 08:35:00,2,45.13340658
5677903#1,0 days 08:35:30,4,88.43484409
5677903#1,0 days 08:36:00,5,94.55417186
5677903#1,0 days 08:36:30,4,75.42912488
5677903#1,0 days 08:37:00,0,0
5677903#1,0 days 08:37:30,3,53.83568509
5677903#1,0 days 08:38:00,4,68.16893278
5677903#1,0 days 08:38:30,5,88.2509758
5677903#1,0 days 08:39:00,2,43.67510924
5677903#1,0 days 08:39:30,3,61.68709216
5677903#1,0 days 08:40:00,6,136.5585271
5677903#1,0 days 08:40:30,7,151.9824264
5677903#1,0 days 08:41:00,2,45.39468117
5677903#1,0 days 08:41:30,5,113.1982365
5677903#1,0 days 08:42:00,4,87.80124937
5677903#1,0 days 08:42:30,4,67.56224627
5677903#1,0 days 08:43:00,3,60.30998264
5677903#1,0 days 08:43:30,5,120.8261346
5677903#1,0 days 08:44:00,6,122.7269968
5677903#1,0 days 08:44:30,6,109.7203323
5677903#1,0 days 08:45:00,3,68.97859819
5677903#1,0 days 08:45:30,4,91.0213234
5677903#1,0 days 08:46:00,5,96.55771009
5677903#1,0 days 08:46:30,4,77.63998941
5677903#1,0 days 08:47:00,1,16.44506023
5677903#1,0 days 08:47:30,3,74.01356145
5677903#1,0 days 08:48:00,4,79.97931329
5677903#1,0 days 08:48:30,4,95.54082527
5677903#1,0 days 08:49:00,2,57.07595602
5677903#1,0 days 08:49:30,3,85.29759416
5677903#1,0 days 08:50:00,6,137.665347
5677903#1,0 days 08:50:30,7,162.193013
5677903#1,0 days 08:51:00,2,49.86400785
5677903#1,0 days 08:51:30,5,96.17419452
5677903#1,0 days 08:52:00,5,68.62517706
5677903#1,0 days 08:52:30,5,67.5347021
5677903#1,0 days 08:53:00,2,48.49620474
5677903#1,0 days 08:53:30,5,96.13120571
5677903#1,0 days 08:54:00,7,170.7952989
5677903#1,0 days 08:54:30,7,149.9350176
5677903#1,0 days 08:55:00,3,64.22118649
5677903#1,0 days 08:55:30,4,78.71215189
5677903#1,0 days 08:56:00,5,90.18114382
5677903#1,0 days 08:56:30,5,77.37204745
5677903#1,0 days 08:57:00,0,0
5677903#1,0 days 08:57:30,2,42.20528789
5677903#1,0 days 08:58:00,4,80.38880048
5677903#1,0 days 08:58:30,3,58.02057506
5677903#1,0 days 08:59:00,1,14.74902403
5677903#1,0 days 08:59:30,2,57.38708432
5677903#1,0 days 09:00:00,5,100.100873
5677903#1,0 days 09:00:30,5,79.40719854
5677903#1,0 days 09:01:00,1,16.44506023
5677903#1,0 days 09:01:30,5,94.93767693
5677903#1,0 days 09:02:00,4,80.10879686
5677903#1,0 days 09:02:30,4,63.94087681
5677903#1,0 days 09:03:00,3,66.29981123
5677903#1,0 days 09:03:30,5,107.1616165
5677903#1,0 days 09:04:00,6,108.2215529
5677903#1,0 days 09:04:30,6,123.0686251
5677903#1,0 days 09:05:00,2,48.71515635
5677903#1,0 days 09:05:30,4,89.27578908
5677903#1,0 days 09:06:00,5,94.17067165
5677903#1,0 days 09:06:30,5,80.99190644
5677903#1,0 days 09:07:00,0,0
5677903#1,0 days 09:07:30,2,59.08759719
5677903#1,0 days 09:08:00,4,80.46699186
5677903#1,0 days 09:08:30,4,66.01808747
5677903#1,0 days 09:09:00,1,14.74902403
5677903#1,0 days 09:09:30,3,70.59798417
5677903#1,0 days 09:10:00,4,105.4380047
5677903#1,0 days 09:10:30,5,103.3725831
5677903#1,0 days 09:11:00,1,16.44506023
5677903#1,0 days 09:11:30,4,88.63443403
5677903#1,0 days 09:12:00,4,76.44669611
5677903#1,0 days 09:12:30,4,76.8995452
5677903#1,0 days 09:13:00,3,52.42379967
5677903#1,0 days 09:13:30,6,125.7491042
5677903#1,0 days 09:14:00,6,120.9297913
5677903#1,0 days 09:14:30,7,120.0930749
5677903#1,0 days 09:15:00,2,58.97095173
5677903#1,0 days 09:15:30,4,77.78262077
5677903#1,0 days 09:16:00,5,94.45981243
5677903#1,0 days 09:16:30,4,68.16332905
5677903#1,0 days 09:17:00,1,14.74902403
5677903#1,0 days 09:17:30,2,49.23162222
5677903#1,0 days 09:18:00,6,98.98780147
5677903#1,0 days 09:18:30,5,82.99508731
5677903#1,0 days 09:19:00,1,16.44506023
5677903#1,0 days 09:19:30,2,47.68753201
5677903#1,0 days 09:20:00,4,93.26558135
5677903#1,0 days 09:20:30,5,120.0465198
5677903#1,0 days 09:21:00,1,14.74902403
5677903#1,0 days 09:21:30,4,84.44513025
5677903#1,0 days 09:22:00,4,75.17955707
5677903#1,0 days 09:22:30,4,79.19555958
5677903#1,0 days 09:23:00,2,58.20494842
