Link,Width
781,3.66
782,3.66
783,3.66
784,3.66
785,3.66
786,3.66
787,3.66
788,3.66
789,7.32
790,7.32
791,7.32
792,7.32
793,7.32
794,3.66
795,3.66
796,3.66
797,3.66
798,7.32
799,3.66
800,3.66
801,3.66
802,3.66
803,7.32
804,7.32
805,7.32
806,3.66
807,7.32
808,3.66
809,14.64
810,14.64
811,7.32
812,14.64
813,3.66
814,3.66
815,3.66
816,3.66
817,3.66
818,3.66
819,3.66
820,3.66
821,3.66
822,3.66
823,3.66
824,3.66
825,3.66
826,14.64
827,14.64
828,7.32
829,7.32
830,3.66
831,7.32
832,7.32
833,3.66
834,3.66
835,3.66
836,3.66
837,3.66
838,3.66
839,3.66
840,3.66
841,7.32
842,14.64
843,7.32
844,14.64
845,1.83
846,1.83
847,7.32
848,7.32
849,3.66
850,3.66
851,3.66
852,3.66
853,3.66
854,7.32
855,3.66
856,3.66
857,3.66
858,3.66
859,3.66
860,3.66
861,7.32
862,7.32
863,3.66
864,3.66
865,1.83
866,1.83
867,7.32
868,10.98
869,3.66
870,7.32
871,7.32
872,10.98
873,7.32
874,7.32
875,3.66
876,7.32
877,1.83
878,3.66
879,3.66
880,3.66
881,3.66
882,3.66
883,3.66
884,3.66
885,3.66
886,10.98
887,10.98
888,7.32
889,3.66
890,7.32
891,7.32
892,7.32
893,3.66
894,7.32
895,1.83
896,1.83
897,1.83
898,1.83
899,7.32
900,7.32
901,7.32
902,7.32
903,7.32
904,1.83
905,1.83
906,1.83
907,1.83
908,1.83
909,1.83
910,1.83
911,1.83
912,1.83
913,1.83
914,7.32
915,7.32
916,7.32
917,7.32
918,0.91
919,7.32
920,7.32
921,7.32
922,7.32
923,0.91
924,0.91
925,0.91
926,7.32
927,7.32
928,7.32
929,10.98
930,18.3
931,10.98
932,10.98
933,21.96
934,1.83
935,1.83
936,10.98
937,7.32
938,7.32
939,7.32
940,7.32
941,7.32
942,7.32
943,7.32
944,18.3
945,18.3
946,7.32
947,18.3
948,7.32
949,10.98
950,7.32
951,3.66
952,18.3
953,18.3
954,3.66
955,18.3
956,18.3
957,7.32
958,3.66
959,3.66
960,7.32
961,18.3
962,7.32
963,18.3
964,18.3
965,3.66
966,10.98
967,7.32
968,10.98
969,7.32
970,7.32
971,7.32
972,3.66
973,3.66
974,7.32
975,3.66
976,7.32
977,7.32
978,3.66
979,7.32
980,7.32
981,3.66
982,7.32
983,3.66
984,10.98
985,7.32
986,7.32
987,10.98
988,10.98
989,7.32
990,7.32
991,10.98
992,7.32
993,3.66
994,7.32
995,7.32
996,7.32
997,7.32
998,3.66
999,10.98
1000,14.64
1001,3.66
1002,7.32
1003,3.66
1004,3.66
1005,3.66
1006,3.66
1007,3.66
1008,3.66
1009,3.66
1010,3.66
1011,3.66
1012,3.66
1013,10.98
1014,3.66
1015,3.66
1016,3.66
1017,3.66
1018,3.66
1019,3.66
1020,3.66
1021,3.66
1022,3.66
1023,7.32
1024,10.98
1025,10.98
1026,14.64
1027,10.98
1028,10.98
1029,7.32
1030,10.98
1031,7.32
1032,7.32
1033,14.64
1034,7.32
1035,7.32
1036,3.66
1037,7.32
1038,10.98
1039,7.32
1040,3.66
1041,3.66
1042,10.98
1043,3.66
1044,3.66
1045,3.66
1046,3.66
1047,3.66
1048,3.66
1049,3.66
1050,3.66
1051,3.66
1052,3.66
1053,14.64
1054,10.98
1055,3.66
1056,7.32
1057,14.64
1058,7.32
1059,7.32
1060,3.66
1061,3.66
1062,3.66
1063,10.98
1064,3.66
1065,7.32
1066,7.32
1067,3.66
1068,7.32
1069,7.32
1070,7.32
1071,10.98
1072,7.32
1073,10.98
1074,3.66
1075,7.32
1076,7.32
1077,3.66
1078,10.98
1079,10.98
1080,7.32
1081,3.66
1082,3.66
1083,3.66
1084,3.66
1085,3.66
1086,10.98
1087,10.98
1088,7.32
1089,3.66
1090,14.64
1091,7.32
1092,14.64
1093,10.98
1094,7.32
1095,3.66
1096,7.32
1097,3.66
1098,7.32
1099,7.32
1100,10.98
1101,3.66
1102,7.32
1103,10.98
1104,10.98
1105,3.66
1106,7.32
1107,3.66
1108,3.66
1109,3.66
1110,10.98
1111,7.32
1112,7.32
1113,7.32
1114,3.66
1115,7.32
1116,10.98
1117,7.32
1118,10.98
1119,7.32
1120,3.66
1121,3.66
1122,3.66
1123,7.32
1124,7.32
1125,3.66
1126,3.66
1127,3.66
1128,7.32
1129,3.66
1130,7.32
1131,3.66
1132,10.98
1133,7.32
1134,10.98
1135,7.32
1136,7.32
1137,10.98
1138,10.98
1139,10.98
1140,7.32
1141,3.66
1142,7.32
1143,7.32
1144,7.32
1145,7.32
1146,7.32
1147,10.98
1148,10.98
1149,3.66
1150,7.32
1151,3.66
1152,7.32
1153,7.32
1154,10.98
1155,7.32
1156,3.66
1157,3.66
1158,14.64
1159,7.32
1160,10.98
1161,7.32
1162,10.98
1163,7.32
1164,7.32
1165,3.66
1166,3.66
1167,3.66
1168,3.66
1169,3.66
1170,7.32
1171,3.66
1172,10.98
1173,7.32
1174,3.66
1175,3.66
1176,3.66
1177,3.66
1178,3.66
1179,3.66
1180,3.66
1181,3.66
1182,3.66
1183,3.66
1184,10.98
1185,7.32
1186,7.32
1187,3.66
1188,3.66
1189,7.32
1190,7.32
1191,7.32
1192,7.32
1193,3.66
1194,3.66
1195,7.32
1196,7.32
1197,7.32
1198,3.66
1199,3.66
1200,10.98
1201,14.64
1202,3.66
1203,3.66
1204,10.98
1205,7.32
1206,10.98
1207,3.66
1208,7.32
1209,3.66
1210,3.66
1211,7.32
1212,7.32
1213,10.98
1214,3.66
1215,7.32
1216,7.32
1217,10.98
1218,3.66
1219,7.32
1220,3.66
1221,7.32
1222,3.66
1223,7.32
1224,3.66
1225,3.66
1226,7.32
1227,3.66
1228,7.32
1229,10.98
1230,7.32
1231,7.32
1232,10.98
1233,10.98
1234,7.32
1235,10.98
1236,7.32
1237,7.32
1238,3.66
1239,14.64
1240,18.3
1241,18.3
1242,14.64
1243,14.64
1244,18.3
1245,7.32
1246,3.66
1247,7.32
1248,3.66
1249,3.66
1250,14.64
1251,10.98
1252,3.66
1253,3.66
1254,3.66
1255,14.64
1256,10.98
1257,14.64
1258,10.98
1259,3.66
1260,7.32
1261,3.66
1262,14.64
1263,7.32
1264,18.3
1265,10.98
1266,3.66
1267,14.64
1268,14.64
1269,10.98
1270,3.66
1271,7.32
1272,7.32
1273,3.66
1274,7.32
1275,3.66
1276,14.64
1277,7.32
1278,3.66
1279,7.32
1280,7.32
1281,3.66
1282,7.32
1283,10.98
1284,14.64
1285,10.98
1286,3.66
1287,10.98
1288,3.66
1289,3.66
1290,10.98
1291,7.32
1292,3.66
1293,3.66
1294,3.66
1295,3.66
1296,3.66
1297,7.32
1298,10.98
1299,7.32
1300,3.66
1301,3.66
1302,7.32
1303,7.32
1304,3.66
1305,3.66
1306,3.66
1307,3.66
1308,10.98
1309,10.98
